,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2
96,031/050,027/050,027/050,024/050,022/050,020/050,055/100,049/100,047/100,--,--,--,--,--,--,--,--,--,55,49,47,4,4,4,B+,C,C,7,5,5,28,20,20,031/050,027/050,027/050,024/050,022/050,020/050,055/100,049/100,047/100,--,--,--,--,--,--,--,--,--,55,49,47,4,4,4,B+,C,C,7,5,5,28,20,20,031/050,027/050,027/050,024/050,022/050,020/050,055/100,049/100,047/100,--,--,--,--,--,--,--,--,--,55,49,47,4,4,4,B+,C,C,7,5,5,28,20,20
97,028/050,036/050,030/050,021/050,027/050,033/050,049/100,063/100,063/100,--,--,--,--,--,--,--,--,--,49,63,63,4,4,4,C,A,A,5,8,8,20,32,32,028/050,036/050,030/050,021/050,027/050,033/050,049/100,063/100,063/100,--,--,--,--,--,--,--,--,--,49,63,63,4,4,4,C,A,A,5,8,8,20,32,32,028/050,036/050,030/050,021/050,027/050,033/050,049/100,063/100,063/100,--,--,--,--,--,--,--,--,--,49,63,63,4,4,4,C,A,A,5,8,8,20,32,32
98,031/050,024/050,025/050,027/050,026/050,025/050,058/100,050/100,050/100,--,--,--,--,--,--,--,--,--,58,50,50,4,4,4,B+,B,B,7,6,6,28,24,24,031/050,024/050,025/050,027/050,026/050,025/050,058/100,050/100,050/100,--,--,--,--,--,--,--,--,--,58,50,50,4,4,4,B+,B,B,7,6,6,28,24,24,031/050,024/050,025/050,027/050,026/050,025/050,058/100,050/100,050/100,--,--,--,--,--,--,--,--,--,58,50,50,4,4,4,B+,B,B,7,6,6,28,24,24
99,047/050,031/050,036/050,032/050,024/050,034/050,079/100,055/100,070/100,--,--,--,--,--,--,--,--,--,79,55,70,4,4,4,A+,B+,A+,9,7,9,36,28,36,047/050,031/050,036/050,032/050,024/050,034/050,079/100,055/100,070/100,--,--,--,--,--,--,--,--,--,79,55,70,4,4,4,A+,B+,A+,9,7,9,36,28,36,047/050,031/050,036/050,032/050,024/050,034/050,079/100,055/100,070/100,--,--,--,--,--,--,--,--,--,79,55,70,4,4,4,A+,B+,A+,9,7,9,36,28,36
100,028/050,021/050,019/050,017/050,027/050,026/050,045/100,048/100,045/100,--,--,--,--,--,--,--,--,--,FF,48,45,4,4,4,F,C,C,0,5,5,0,20,20,028/050,021/050,019/050,017/050,027/050,026/050,045/100,048/100,045/100,--,--,--,--,--,--,--,--,--,FF,48,45,4,4,4,F,C,C,0,5,5,0,20,20,028/050,021/050,019/050,017/050,027/050,026/050,045/100,048/100,045/100,--,--,--,--,--,--,--,--,--,FF,48,45,4,4,4,F,C,C,0,5,5,0,20,20
101,032/050,036/050,028/050,030/050,032/050,027/050,062/100,068/100,055/100,--,--,--,--,--,--,--,--,--,62,68,55,4,4,4,A,A,B+,8,8,7,32,32,28,032/050,036/050,028/050,030/050,032/050,027/050,062/100,068/100,055/100,--,--,--,--,--,--,--,--,--,62,68,55,4,4,4,A,A,B+,8,8,7,32,32,28,032/050,036/050,028/050,030/050,032/050,027/050,062/100,068/100,055/100,--,--,--,--,--,--,--,--,--,62,68,55,4,4,4,A,A,B+,8,8,7,32,32,28
102,035/050,031/050,029/050,041/050,020/050,011/050,076/100,051/100,040/100,--,--,--,--,--,--,--,--,--,76,51,FF,4,4,4,A+,B,F,9,6,0,36,24,0,035/050,031/050,029/050,041/050,020/050,011/050,076/100,051/100,040/100,--,--,--,--,--,--,--,--,--,76,51,FF,4,4,4,A+,B,F,9,6,0,36,24,0,035/050,031/050,029/050,041/050,020/050,011/050,076/100,051/100,040/100,--,--,--,--,--,--,--,--,--,76,51,FF,4,4,4,A+,B,F,9,6,0,36,24,0
103,022/050,019/050,023/050,024/050,023/050,027/050,046/100,042/100,050/100,--,--,--,--,--,--,--,--,--,46,42,50,4,4,4,C,P,B,5,4,6,20,16,24,022/050,019/050,023/050,024/050,023/050,027/050,046/100,042/100,050/100,--,--,--,--,--,--,--,--,--,46,42,50,4,4,4,C,P,B,5,4,6,20,16,24,022/050,019/050,023/050,024/050,023/050,027/050,046/100,042/100,050/100,--,--,--,--,--,--,--,--,--,46,42,50,4,4,4,C,P,B,5,4,6,20,16,24
104,039/050,028/050,030/050,020/050,020/050,026/050,059/100,048/100,056/100,--,--,--,--,--,--,--,--,--,59,48,56,4,4,4,B+,C,B+,7,5,7,28,20,28,039/050,028/050,030/050,020/050,020/050,026/050,059/100,048/100,056/100,--,--,--,--,--,--,--,--,--,59,48,56,4,4,4,B+,C,B+,7,5,7,28,20,28,039/050,028/050,030/050,020/050,020/050,026/050,059/100,048/100,056/100,--,--,--,--,--,--,--,--,--,59,48,56,4,4,4,B+,C,B+,7,5,7,28,20,28
105,035/050,031/050,031/050,034/050,027/050,027/050,069/100,058/100,058/100,--,--,--,--,--,--,--,--,--,69,58,58,4,4,4,A,B+,B+,8,7,7,32,28,28,035/050,031/050,031/050,034/050,027/050,027/050,069/100,058/100,058/100,--,--,--,--,--,--,--,--,--,69,58,58,4,4,4,A,B+,B+,8,7,7,32,28,28,035/050,031/050,031/050,034/050,027/050,027/050,069/100,058/100,058/100,--,--,--,--,--,--,--,--,--,69,58,58,4,4,4,A,B+,B+,8,7,7,32,28,28
106,039/050,025/050,021/050,010/050,022/050,010/050,049/100,047/100,031/100,--,--,--,--,--,--,--,--,--,FF,47,FF,4,4,4,F,C,F,0,5,0,0,20,0,039/050,025/050,021/050,010/050,022/050,010/050,049/100,047/100,031/100,--,--,--,--,--,--,--,--,--,FF,47,FF,4,4,4,F,C,F,0,5,0,0,20,0,039/050,025/050,021/050,010/050,022/050,010/050,049/100,047/100,031/100,--,--,--,--,--,--,--,--,--,FF,47,FF,4,4,4,F,C,F,0,5,0,0,20,0
107,041/050,038/050,035/050,022/050,024/050,022/050,063/100,062/100,057/100,--,--,--,--,--,--,--,--,--,63,62,57,4,4,4,A,A,B+,8,8,7,32,32,28,041/050,038/050,035/050,022/050,024/050,022/050,063/100,062/100,057/100,--,--,--,--,--,--,--,--,--,63,62,57,4,4,4,A,A,B+,8,8,7,32,32,28,041/050,038/050,035/050,022/050,024/050,022/050,063/100,062/100,057/100,--,--,--,--,--,--,--,--,--,63,62,57,4,4,4,A,A,B+,8,8,7,32,32,28
108,034/050,027/050,021/050,021/050,AB/050,008/050,055/100,027/100,029/100,--,--,--,--,--,--,--,--,--,55,FF,FF,4,4,4,B+,F,F,7,0,0,28,0,0,034/050,027/050,021/050,021/050,AB/050,008/050,055/100,027/100,029/100,--,--,--,--,--,--,--,--,--,55,FF,FF,4,4,4,B+,F,F,7,0,0,28,0,0,034/050,027/050,021/050,021/050,AB/050,008/050,055/100,027/100,029/100,--,--,--,--,--,--,--,--,--,55,FF,FF,4,4,4,B+,F,F,7,0,0,28,0,0
109,024/050,025/050,026/050,037/050,022/050,027/050,061/100,047/100,053/100,--,--,--,--,--,--,--,--,--,61,47,53,4,4,4,A,C,B,8,5,6,32,20,24,024/050,025/050,026/050,037/050,022/050,027/050,061/100,047/100,053/100,--,--,--,--,--,--,--,--,--,61,47,53,4,4,4,A,C,B,8,5,6,32,20,24,024/050,025/050,026/050,037/050,022/050,027/050,061/100,047/100,053/100,--,--,--,--,--,--,--,--,--,61,47,53,4,4,4,A,C,B,8,5,6,32,20,24
110,029/050,032/050,027/050,039/050,028/050,033/050,068/100,060/100,060/100,--,--,--,--,--,--,--,--,--,68,60,60,4,4,4,A,A,A,8,8,8,32,32,32,029/050,032/050,027/050,039/050,028/050,033/050,068/100,060/100,060/100,--,--,--,--,--,--,--,--,--,68,60,60,4,4,4,A,A,A,8,8,8,32,32,32,029/050,032/050,027/050,039/050,028/050,033/050,068/100,060/100,060/100,--,--,--,--,--,--,--,--,--,68,60,60,4,4,4,A,A,A,8,8,8,32,32,32
111,022/050,027/050,021/050,20$/050,030/050,021/050,042/100,057/100,042/100,--,--,--,--,--,--,--,--,--,42,57,42,4,4,4,P,B+,P,4,7,4,16,28,16,022/050,027/050,021/050,20$/050,030/050,021/050,042/100,057/100,042/100,--,--,--,--,--,--,--,--,--,42,57,42,4,4,4,P,B+,P,4,7,4,16,28,16,022/050,027/050,021/050,20$/050,030/050,021/050,042/100,057/100,042/100,--,--,--,--,--,--,--,--,--,42,57,42,4,4,4,P,B+,P,4,7,4,16,28,16
112,033/050,033/050,034/050,034/050,030/050,034/050,067/100,063/100,068/100,--,--,--,--,--,--,--,--,--,67,63,68,4,4,4,A,A,A,8,8,8,32,32,32,033/050,033/050,034/050,034/050,030/050,034/050,067/100,063/100,068/100,--,--,--,--,--,--,--,--,--,67,63,68,4,4,4,A,A,A,8,8,8,32,32,32,033/050,033/050,034/050,034/050,030/050,034/050,067/100,063/100,068/100,--,--,--,--,--,--,--,--,--,67,63,68,4,4,4,A,A,A,8,8,8,32,32,32
113,020/050,033/050,022/050,020/050,023/050,020/050,040/100,056/100,042/100,--,--,--,--,--,--,--,--,--,40,56,42,4,4,4,P,B+,P,4,7,4,16,28,16,020/050,033/050,022/050,020/050,023/050,020/050,040/100,056/100,042/100,--,--,--,--,--,--,--,--,--,40,56,42,4,4,4,P,B+,P,4,7,4,16,28,16,020/050,033/050,022/050,020/050,023/050,020/050,040/100,056/100,042/100,--,--,--,--,--,--,--,--,--,40,56,42,4,4,4,P,B+,P,4,7,4,16,28,16
114,023/050,022/050,019/050,022/050,AB/050,AB/050,045/100,022/100,019/100,--,--,--,--,--,--,--,--,--,45,FF,FF,4,4,4,C,F,F,5,0,0,20,0,0,023/050,022/050,019/050,022/050,AB/050,AB/050,045/100,022/100,019/100,--,--,--,--,--,--,--,--,--,45,FF,FF,4,4,4,C,F,F,5,0,0,20,0,0,023/050,022/050,019/050,022/050,AB/050,AB/050,045/100,022/100,019/100,--,--,--,--,--,--,--,--,--,45,FF,FF,4,4,4,C,F,F,5,0,0,20,0,0
115,033/050,019/050,025/050,022/050,025/050,006/050,055/100,044/100,031/100,--,--,--,--,--,--,--,--,--,55,44,FF,4,4,4,B+,P,F,7,4,0,28,16,0,033/050,019/050,025/050,022/050,025/050,006/050,055/100,044/100,031/100,--,--,--,--,--,--,--,--,--,55,44,FF,4,4,4,B+,P,F,7,4,0,28,16,0,033/050,019/050,025/050,022/050,025/050,006/050,055/100,044/100,031/100,--,--,--,--,--,--,--,--,--,55,44,FF,4,4,4,B+,P,F,7,4,0,28,16,0
116,025/050,020/050,023/050,026/050,005/050,001/050,051/100,025/100,024/100,--,--,--,--,--,--,--,--,--,51,FF,FF,4,4,4,B,F,F,6,0,0,24,0,0,025/050,020/050,023/050,026/050,005/050,001/050,051/100,025/100,024/100,--,--,--,--,--,--,--,--,--,51,FF,FF,4,4,4,B,F,F,6,0,0,24,0,0,025/050,020/050,023/050,026/050,005/050,001/050,051/100,025/100,024/100,--,--,--,--,--,--,--,--,--,51,FF,FF,4,4,4,B,F,F,6,0,0,24,0,0
117,041/050,047/050,038/050,028/050,026/050,037/050,069/100,073/100,075/100,--,--,--,--,--,--,--,--,--,69,73,75,4,4,4,A,A+,A+,8,9,9,32,36,36,041/050,047/050,038/050,028/050,026/050,037/050,069/100,073/100,075/100,--,--,--,--,--,--,--,--,--,69,73,75,4,4,4,A,A+,A+,8,9,9,32,36,36,041/050,047/050,038/050,028/050,026/050,037/050,069/100,073/100,075/100,--,--,--,--,--,--,--,--,--,69,73,75,4,4,4,A,A+,A+,8,9,9,32,36,36
118,027/050,022/050,023/050,022/050,AB/050,020/050,049/100,022/100,043/100,--,--,--,--,--,--,--,--,--,49,FF,43,4,4,4,C,F,P,5,0,4,20,0,16,027/050,022/050,023/050,022/050,AB/050,020/050,049/100,022/100,043/100,--,--,--,--,--,--,--,--,--,49,FF,43,4,4,4,C,F,P,5,0,4,20,0,16,027/050,022/050,023/050,022/050,AB/050,020/050,049/100,022/100,043/100,--,--,--,--,--,--,--,--,--,49,FF,43,4,4,4,C,F,P,5,0,4,20,0,16
119,020/050,025/050,028/050,028/050,022/050,027/050,048/100,047/100,055/100,--,--,--,--,--,--,--,--,--,48,47,55,4,4,4,C,C,B+,5,5,7,20,20,28,020/050,025/050,028/050,028/050,022/050,027/050,048/100,047/100,055/100,--,--,--,--,--,--,--,--,--,48,47,55,4,4,4,C,C,B+,5,5,7,20,20,28,020/050,025/050,028/050,028/050,022/050,027/050,048/100,047/100,055/100,--,--,--,--,--,--,--,--,--,48,47,55,4,4,4,C,C,B+,5,5,7,20,20,28
120,022/050,024/050,031/050,027/050,024/050,020/050,049/100,048/100,051/100,--,--,--,--,--,--,--,--,--,49,48,51,4,4,4,C,C,B,5,5,6,20,20,24,022/050,024/050,031/050,027/050,024/050,020/050,049/100,048/100,051/100,--,--,--,--,--,--,--,--,--,49,48,51,4,4,4,C,C,B,5,5,6,20,20,24,022/050,024/050,031/050,027/050,024/050,020/050,049/100,048/100,051/100,--,--,--,--,--,--,--,--,--,49,48,51,4,4,4,C,C,B,5,5,6,20,20,24
121,020/050,030/050,025/050,026/050,010/050,010/050,046/100,040/100,035/100,--,--,--,--,--,--,--,--,--,46,FF,FF,4,4,4,C,F,F,5,0,0,20,0,0,020/050,030/050,025/050,026/050,010/050,010/050,046/100,040/100,035/100,--,--,--,--,--,--,--,--,--,46,FF,FF,4,4,4,C,F,F,5,0,0,20,0,0,020/050,030/050,025/050,026/050,010/050,010/050,046/100,040/100,035/100,--,--,--,--,--,--,--,--,--,46,FF,FF,4,4,4,C,F,F,5,0,0,20,0,0
122,025/050,024/050,029/050,020/050,032/050,025/050,045/100,056/100,054/100,--,--,--,--,--,--,--,--,--,45,56,54,4,4,4,C,B+,B,5,7,6,20,28,24,025/050,024/050,029/050,020/050,032/050,025/050,045/100,056/100,054/100,--,--,--,--,--,--,--,--,--,45,56,54,4,4,4,C,B+,B,5,7,6,20,28,24,025/050,024/050,029/050,020/050,032/050,025/050,045/100,056/100,054/100,--,--,--,--,--,--,--,--,--,45,56,54,4,4,4,C,B+,B,5,7,6,20,28,24
123,032/050,030/050,032/050,028/050,032/050,028/050,060/100,062/100,060/100,--,--,--,--,--,--,--,--,--,60,62,60,4,4,4,A,A,A,8,8,8,32,32,32,032/050,030/050,032/050,028/050,032/050,028/050,060/100,062/100,060/100,--,--,--,--,--,--,--,--,--,60,62,60,4,4,4,A,A,A,8,8,8,32,32,32,032/050,030/050,032/050,028/050,032/050,028/050,060/100,062/100,060/100,--,--,--,--,--,--,--,--,--,60,62,60,4,4,4,A,A,A,8,8,8,32,32,32
124,026/050,030/050,024/050,022/050,027/050,013/050,048/100,057/100,037/100,--,--,--,--,--,--,--,--,--,48,57,FF,4,4,4,C,B+,F,5,7,0,20,28,0,026/050,030/050,024/050,022/050,027/050,013/050,048/100,057/100,037/100,--,--,--,--,--,--,--,--,--,48,57,FF,4,4,4,C,B+,F,5,7,0,20,28,0,026/050,030/050,024/050,022/050,027/050,013/050,048/100,057/100,037/100,--,--,--,--,--,--,--,--,--,48,57,FF,4,4,4,C,B+,F,5,7,0,20,28,0
125,022/050,014/050,022/050,020/050,026/050,020/050,042/100,040/100,042/100,--,--,--,--,--,--,--,--,--,42,40,42,4,4,4,P,P,P,4,4,4,16,16,16,022/050,014/050,022/050,020/050,026/050,020/050,042/100,040/100,042/100,--,--,--,--,--,--,--,--,--,42,40,42,4,4,4,P,P,P,4,4,4,16,16,16,022/050,014/050,022/050,020/050,026/050,020/050,042/100,040/100,042/100,--,--,--,--,--,--,--,--,--,42,40,42,4,4,4,P,P,P,4,4,4,16,16,16
126,033/050,022/050,011/050,011/050,000/050,AB/050,044/100,022/100,011/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,033/050,022/050,011/050,011/050,000/050,AB/050,044/100,022/100,011/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,033/050,022/050,011/050,011/050,000/050,AB/050,044/100,022/100,011/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0
127,034/050,021/050,036/050,022/050,022/050,025/050,056/100,043/100,061/100,--,--,--,--,--,--,--,--,--,56,43,61,4,4,4,B+,P,A,7,4,8,28,16,32,034/050,021/050,036/050,022/050,022/050,025/050,056/100,043/100,061/100,--,--,--,--,--,--,--,--,--,56,43,61,4,4,4,B+,P,A,7,4,8,28,16,32,034/050,021/050,036/050,022/050,022/050,025/050,056/100,043/100,061/100,--,--,--,--,--,--,--,--,--,56,43,61,4,4,4,B+,P,A,7,4,8,28,16,32
128,030/050,033/050,033/050,027/050,030/050,022/050,057/100,063/100,055/100,--,--,--,--,--,--,--,--,--,57,63,55,4,4,4,B+,A,B+,7,8,7,28,32,28,030/050,033/050,033/050,027/050,030/050,022/050,057/100,063/100,055/100,--,--,--,--,--,--,--,--,--,57,63,55,4,4,4,B+,A,B+,7,8,7,28,32,28,030/050,033/050,033/050,027/050,030/050,022/050,057/100,063/100,055/100,--,--,--,--,--,--,--,--,--,57,63,55,4,4,4,B+,A,B+,7,8,7,28,32,28
129,042/050,031/050,031/050,030/050,029/050,027/050,072/100,060/100,058/100,--,--,--,--,--,--,--,--,--,72,60,58,4,4,4,A+,A,B+,9,8,7,36,32,28,042/050,031/050,031/050,030/050,029/050,027/050,072/100,060/100,058/100,--,--,--,--,--,--,--,--,--,72,60,58,4,4,4,A+,A,B+,9,8,7,36,32,28,042/050,031/050,031/050,030/050,029/050,027/050,072/100,060/100,058/100,--,--,--,--,--,--,--,--,--,72,60,58,4,4,4,A+,A,B+,9,8,7,36,32,28
130,036/050,018/050,027/050,024/050,024/050,026/050,060/100,042/100,053/100,--,--,--,--,--,--,--,--,--,60,42,53,4,4,4,A,P,B,8,4,6,32,16,24,036/050,018/050,027/050,024/050,024/050,026/050,060/100,042/100,053/100,--,--,--,--,--,--,--,--,--,60,42,53,4,4,4,A,P,B,8,4,6,32,16,24,036/050,018/050,027/050,024/050,024/050,026/050,060/100,042/100,053/100,--,--,--,--,--,--,--,--,--,60,42,53,4,4,4,A,P,B,8,4,6,32,16,24
131,040/050,022/050,035/050,038/050,033/050,028/050,078/100,055/100,063/100,--,--,--,--,--,--,--,--,--,78,55,63,4,4,4,A+,B+,A,9,7,8,36,28,32,040/050,022/050,035/050,038/050,033/050,028/050,078/100,055/100,063/100,--,--,--,--,--,--,--,--,--,78,55,63,4,4,4,A+,B+,A,9,7,8,36,28,32,040/050,022/050,035/050,038/050,033/050,028/050,078/100,055/100,063/100,--,--,--,--,--,--,--,--,--,78,55,63,4,4,4,A+,B+,A,9,7,8,36,28,32
132,033/050,034/050,034/050,025/050,20$/050,020/050,058/100,054/100,054/100,--,--,--,--,--,--,--,--,--,58,54,54,4,4,4,B+,B,B,7,6,6,28,24,24,033/050,034/050,034/050,025/050,20$/050,020/050,058/100,054/100,054/100,--,--,--,--,--,--,--,--,--,58,54,54,4,4,4,B+,B,B,7,6,6,28,24,24,033/050,034/050,034/050,025/050,20$/050,020/050,058/100,054/100,054/100,--,--,--,--,--,--,--,--,--,58,54,54,4,4,4,B+,B,B,7,6,6,28,24,24
133,026/050,018/050,020/050,013/050,22$/050,021/050,039/100,040/100,041/100,--,--,--,--,--,--,--,--,--,FF,40,41,4,4,4,F,P,P,0,4,4,0,16,16,026/050,018/050,020/050,013/050,22$/050,021/050,039/100,040/100,041/100,--,--,--,--,--,--,--,--,--,FF,40,41,4,4,4,F,P,P,0,4,4,0,16,16,026/050,018/050,020/050,013/050,22$/050,021/050,039/100,040/100,041/100,--,--,--,--,--,--,--,--,--,FF,40,41,4,4,4,F,P,P,0,4,4,0,16,16
134,015/050,034/050,021/050,008/050,007/050,003/050,023/100,041/100,024/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,015/050,034/050,021/050,008/050,007/050,003/050,023/100,041/100,024/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,015/050,034/050,021/050,008/050,007/050,003/050,023/100,041/100,024/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0
135,024/050,022/050,019/050,014/050,010/050,21$/050,038/100,032/100,040/100,--,--,--,--,--,--,--,--,--,FF,FF,40,4,4,4,F,F,P,0,0,4,0,0,16,024/050,022/050,019/050,014/050,010/050,21$/050,038/100,032/100,040/100,--,--,--,--,--,--,--,--,--,FF,FF,40,4,4,4,F,F,P,0,0,4,0,0,16,024/050,022/050,019/050,014/050,010/050,21$/050,038/100,032/100,040/100,--,--,--,--,--,--,--,--,--,FF,FF,40,4,4,4,F,F,P,0,0,4,0,0,16
136,023/050,031/050,020/050,027/050,020/050,032/050,050/100,051/100,052/100,--,--,--,--,--,--,--,--,--,50,51,52,4,4,4,B,B,B,6,6,6,24,24,24,023/050,031/050,020/050,027/050,020/050,032/050,050/100,051/100,052/100,--,--,--,--,--,--,--,--,--,50,51,52,4,4,4,B,B,B,6,6,6,24,24,24,023/050,031/050,020/050,027/050,020/050,032/050,050/100,051/100,052/100,--,--,--,--,--,--,--,--,--,50,51,52,4,4,4,B,B,B,6,6,6,24,24,24
137,036/050,033/050,031/050,037/050,024/050,033/050,073/100,057/100,064/100,--,--,--,--,--,--,--,--,--,73,57,64,4,4,4,A+,B+,A,9,7,8,36,28,32,036/050,033/050,031/050,037/050,024/050,033/050,073/100,057/100,064/100,--,--,--,--,--,--,--,--,--,73,57,64,4,4,4,A+,B+,A,9,7,8,36,28,32,036/050,033/050,031/050,037/050,024/050,033/050,073/100,057/100,064/100,--,--,--,--,--,--,--,--,--,73,57,64,4,4,4,A+,B+,A,9,7,8,36,28,32
138,035/050,021/050,025/050,022/050,027/050,020/050,057/100,048/100,045/100,--,--,--,--,--,--,--,--,--,57,48,45,4,4,4,B+,C,C,7,5,5,28,20,20,035/050,021/050,025/050,022/050,027/050,020/050,057/100,048/100,045/100,--,--,--,--,--,--,--,--,--,57,48,45,4,4,4,B+,C,C,7,5,5,28,20,20,035/050,021/050,025/050,022/050,027/050,020/050,057/100,048/100,045/100,--,--,--,--,--,--,--,--,--,57,48,45,4,4,4,B+,C,C,7,5,5,28,20,20
139,022/050,025/050,027/050,022/050,022/050,020/050,044/100,047/100,047/100,--,--,--,--,--,--,--,--,--,44,47,47,4,4,4,P,C,C,4,5,5,16,20,20,022/050,025/050,027/050,022/050,022/050,020/050,044/100,047/100,047/100,--,--,--,--,--,--,--,--,--,44,47,47,4,4,4,P,C,C,4,5,5,16,20,20,022/050,025/050,027/050,022/050,022/050,020/050,044/100,047/100,047/100,--,--,--,--,--,--,--,--,--,44,47,47,4,4,4,P,C,C,4,5,5,16,20,20
140,018/050,029/050,023/050,026/050,020/050,020/050,044/100,049/100,043/100,--,--,--,--,--,--,--,--,--,44,49,43,4,4,4,P,C,P,4,5,4,16,20,16,018/050,029/050,023/050,026/050,020/050,020/050,044/100,049/100,043/100,--,--,--,--,--,--,--,--,--,44,49,43,4,4,4,P,C,P,4,5,4,16,20,16,018/050,029/050,023/050,026/050,020/050,020/050,044/100,049/100,043/100,--,--,--,--,--,--,--,--,--,44,49,43,4,4,4,P,C,P,4,5,4,16,20,16
141,037/050,029/050,040/050,038/050,036/050,040/050,075/100,065/100,080/100,--,--,--,--,--,--,--,--,--,75,65,80,4,4,4,A+,A,O,9,8,10,36,32,40,037/050,029/050,040/050,038/050,036/050,040/050,075/100,065/100,080/100,--,--,--,--,--,--,--,--,--,75,65,80,4,4,4,A+,A,O,9,8,10,36,32,40,037/050,029/050,040/050,038/050,036/050,040/050,075/100,065/100,080/100,--,--,--,--,--,--,--,--,--,75,65,80,4,4,4,A+,A,O,9,8,10,36,32,40
142,028/050,032/050,036/050,038/050,026/050,024/050,066/100,058/100,060/100,--,--,--,--,--,--,--,--,--,66,58,60,4,4,4,A,B+,A,8,7,8,32,28,32,028/050,032/050,036/050,038/050,026/050,024/050,066/100,058/100,060/100,--,--,--,--,--,--,--,--,--,66,58,60,4,4,4,A,B+,A,8,7,8,32,28,32,028/050,032/050,036/050,038/050,026/050,024/050,066/100,058/100,060/100,--,--,--,--,--,--,--,--,--,66,58,60,4,4,4,A,B+,A,8,7,8,32,28,32
143,034/050,026/050,034/050,036/050,008/050,020/050,070/100,034/100,054/100,--,--,--,--,--,--,--,--,--,70,FF,54,4,4,4,A+,F,B,9,0,6,36,0,24,034/050,026/050,034/050,036/050,008/050,020/050,070/100,034/100,054/100,--,--,--,--,--,--,--,--,--,70,FF,54,4,4,4,A+,F,B,9,0,6,36,0,24,034/050,026/050,034/050,036/050,008/050,020/050,070/100,034/100,054/100,--,--,--,--,--,--,--,--,--,70,FF,54,4,4,4,A+,F,B,9,0,6,36,0,24
144,034/050,027/050,032/050,038/050,029/050,033/050,072/100,056/100,065/100,--,--,--,--,--,--,--,--,--,72,56,65,4,4,4,A+,B+,A,9,7,8,36,28,32,034/050,027/050,032/050,038/050,029/050,033/050,072/100,056/100,065/100,--,--,--,--,--,--,--,--,--,72,56,65,4,4,4,A+,B+,A,9,7,8,36,28,32,034/050,027/050,032/050,038/050,029/050,033/050,072/100,056/100,065/100,--,--,--,--,--,--,--,--,--,72,56,65,4,4,4,A+,B+,A,9,7,8,36,28,32
