,Unnamed: 0,Unnamed: 0,subject,subject,OE,OE,TH,TH,OE_TH,OE_TH,TW,TW,PR,PR,OR,OR,TOT,TOT,CRD,CRD,GRD,GRD,PTS1,PTS1,PTS2,PTS2,Unnamed: 0,Unnamed: 0,subject,subject,OE,OE,TH,TH,OE_TH,OE_TH,TW,TW,PR,PR,OR,OR,TOT,TOT,CRD,CRD,GRD,GRD,PTS1,PTS1,PTS2,PTS2
0,0,0,214441,214442,030/050,036/050,024/050,031/050,054/100,067/100,--,--,--,--,--,--,54,67,4,4,B,A,6,8,24,32,0,0,214441,214442,030/050,036/050,024/050,031/050,054/100,067/100,--,--,--,--,--,--,54,67,4,4,B,A,6,8,24,32
1,1,1,214441,214442,013/050,028/050,011/050,020/050,024/100,048/100,--,--,--,--,--,--,FF,48,4,4,F,C,0,5,0,20,1,1,214441,214442,013/050,028/050,011/050,020/050,024/100,048/100,--,--,--,--,--,--,FF,48,4,4,F,C,0,5,0,20
2,2,2,214441,214442,021/050,034/050,026/050,023/050,047/100,057/100,--,--,--,--,--,--,47,57,4,4,C,B+,5,7,20,28,2,2,214441,214442,021/050,034/050,026/050,023/050,047/100,057/100,--,--,--,--,--,--,47,57,4,4,C,B+,5,7,20,28
3,3,3,214441,214442,022/050,022/050,035/050,021/050,057/100,043/100,--,--,--,--,--,--,57,43,4,4,B+,P,7,4,28,16,3,3,214441,214442,022/050,022/050,035/050,021/050,057/100,043/100,--,--,--,--,--,--,57,43,4,4,B+,P,7,4,28,16
4,4,4,214441,214442,016/050,017/050,24$/050,029/050,040/100,046/100,--,--,--,--,--,--,40,46,4,4,P,C,4,5,16,20,4,4,214441,214442,016/050,017/050,24$/050,029/050,040/100,046/100,--,--,--,--,--,--,40,46,4,4,P,C,4,5,16,20
5,5,5,214441,214442,020/050,032/050,028/050,029/050,048/100,061/100,--,--,--,--,--,--,48,61,4,4,C,A,5,8,20,32,5,5,214441,214442,020/050,032/050,028/050,029/050,048/100,061/100,--,--,--,--,--,--,48,61,4,4,C,A,5,8,20,32
6,6,6,214441,214442,022/050,025/050,010/050,014/050,032/100,039/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,6,6,214441,214442,022/050,025/050,010/050,014/050,032/100,039/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
7,7,7,214441,214442,010/050,023/050,012/050,027/050,022/100,050/100,--,--,--,--,--,--,FF,50,4,4,F,B,0,6,0,24,7,7,214441,214442,010/050,023/050,012/050,027/050,022/100,050/100,--,--,--,--,--,--,FF,50,4,4,F,B,0,6,0,24
8,8,8,214441,214442,018/050,016/050,023/050,028/050,041/100,044/100,--,--,--,--,--,--,41,44,4,4,P,P,4,4,16,16,8,8,214441,214442,018/050,016/050,023/050,028/050,041/100,044/100,--,--,--,--,--,--,41,44,4,4,P,P,4,4,16,16
9,9,9,214441,214442,015/050,028/050,25$/050,026/050,040/100,054/100,--,--,--,--,--,--,40,54,4,4,P,B,4,6,16,24,9,9,214441,214442,015/050,028/050,25$/050,026/050,040/100,054/100,--,--,--,--,--,--,40,54,4,4,P,B,4,6,16,24
10,10,10,214441,214442,023/050,023/050,017/050,022/050,040/100,045/100,--,--,--,--,--,--,FF,45,4,4,F,C,0,5,0,20,10,10,214441,214442,023/050,023/050,017/050,022/050,040/100,045/100,--,--,--,--,--,--,FF,45,4,4,F,C,0,5,0,20
11,11,11,214441,214442,030/050,013/050,003/050,033/050,033/100,046/100,--,--,--,--,--,--,FF,46,4,4,F,C,0,5,0,20,11,11,214441,214442,030/050,013/050,003/050,033/050,033/100,046/100,--,--,--,--,--,--,FF,46,4,4,F,C,0,5,0,20
12,12,12,214441,214442,019/050,026/050,024/050,020/050,043/100,046/100,--,--,--,--,--,--,43,46,4,4,P,C,4,5,16,20,12,12,214441,214442,019/050,026/050,024/050,020/050,043/100,046/100,--,--,--,--,--,--,43,46,4,4,P,C,4,5,16,20
13,13,13,214441,214442,013/050,015/050,007/050,25$/050,020/100,040/100,--,--,--,--,--,--,FF,40,4,4,F,P,0,4,0,16,13,13,214441,214442,013/050,015/050,007/050,25$/050,020/100,040/100,--,--,--,--,--,--,FF,40,4,4,F,P,0,4,0,16
14,14,14,214441,214442,027/050,032/050,022/050,025/050,049/100,057/100,--,--,--,--,--,--,49,57,4,4,C,B+,5,7,20,28,14,14,214441,214442,027/050,032/050,022/050,025/050,049/100,057/100,--,--,--,--,--,--,49,57,4,4,C,B+,5,7,20,28
15,15,15,214441,214442,018/050,031/050,034/050,031/050,052/100,062/100,--,--,--,--,--,--,52,62,4,4,B,A,6,8,24,32,15,15,214441,214442,018/050,031/050,034/050,031/050,052/100,062/100,--,--,--,--,--,--,52,62,4,4,B,A,6,8,24,32
16,16,16,214441,214442,028/050,027/050,017/050,023/050,045/100,050/100,--,--,--,--,--,--,FF,50,4,4,F,B,0,6,0,24,16,16,214441,214442,028/050,027/050,017/050,023/050,045/100,050/100,--,--,--,--,--,--,FF,50,4,4,F,B,0,6,0,24
17,17,17,214441,214442,025/050,030/050,029/050,026/050,054/100,056/100,--,--,--,--,--,--,54,56,4,4,B,B+,6,7,24,28,17,17,214441,214442,025/050,030/050,029/050,026/050,054/100,056/100,--,--,--,--,--,--,54,56,4,4,B,B+,6,7,24,28
18,18,18,214441,214442,034/050,029/050,022/050,031/050,056/100,060/100,--,--,--,--,--,--,56,60,4,4,B+,A,7,8,28,32,18,18,214441,214442,034/050,029/050,022/050,031/050,056/100,060/100,--,--,--,--,--,--,56,60,4,4,B+,A,7,8,28,32
19,19,19,214441,214442,019/050,021/050,013/050,022/050,032/100,043/100,--,--,--,--,--,--,FF,43,4,4,F,P,0,4,0,16,19,19,214441,214442,019/050,021/050,013/050,022/050,032/100,043/100,--,--,--,--,--,--,FF,43,4,4,F,P,0,4,0,16
20,20,20,214441,214442,013/050,027/050,017/050,020/050,030/100,047/100,--,--,--,--,--,--,FF,47,4,4,F,C,0,5,0,20,20,20,214441,214442,013/050,027/050,017/050,020/050,030/100,047/100,--,--,--,--,--,--,FF,47,4,4,F,C,0,5,0,20
21,21,21,214441,214442,025/050,033/050,026/050,028/050,051/100,061/100,--,--,--,--,--,--,51,61,4,4,B,A,6,8,24,32,21,21,214441,214442,025/050,033/050,026/050,028/050,051/100,061/100,--,--,--,--,--,--,51,61,4,4,B,A,6,8,24,32
22,22,22,214441,214442,034/050,034/050,028/050,031/050,062/100,065/100,--,--,--,--,--,--,62,65,4,4,A,A,8,8,32,32,22,22,214441,214442,034/050,034/050,028/050,031/050,062/100,065/100,--,--,--,--,--,--,62,65,4,4,A,A,8,8,32,32
23,23,23,214441,214442,024/050,017/050,007/050,027/050,031/100,044/100,--,--,--,--,--,--,FF,44,4,4,F,P,0,4,0,16,23,23,214441,214442,024/050,017/050,007/050,027/050,031/100,044/100,--,--,--,--,--,--,FF,44,4,4,F,P,0,4,0,16
24,24,24,214441,214442,016/050,023/050,017/050,025/050,033/100,048/100,--,--,--,--,--,--,FF,48,4,4,F,C,0,5,0,20,24,24,214441,214442,016/050,023/050,017/050,025/050,033/100,048/100,--,--,--,--,--,--,FF,48,4,4,F,C,0,5,0,20
25,25,25,214441,214442,019/050,026/050,014/050,021/050,033/100,047/100,--,--,--,--,--,--,FF,47,4,4,F,C,0,5,0,20,25,25,214441,214442,019/050,026/050,014/050,021/050,033/100,047/100,--,--,--,--,--,--,FF,47,4,4,F,C,0,5,0,20
26,26,26,214441,214442,014/050,031/050,011/050,020/050,025/100,051/100,--,--,--,--,--,--,FF,51,4,4,F,B,0,6,0,24,26,26,214441,214442,014/050,031/050,011/050,020/050,025/100,051/100,--,--,--,--,--,--,FF,51,4,4,F,B,0,6,0,24
27,27,27,214441,214442,017/050,019/050,23$/050,028/050,040/100,047/100,--,--,--,--,--,--,40,47,4,4,P,C,4,5,16,20,27,27,214441,214442,017/050,019/050,23$/050,028/050,040/100,047/100,--,--,--,--,--,--,40,47,4,4,P,C,4,5,16,20
28,28,28,214441,214442,028/050,023/050,032/050,030/050,060/100,053/100,--,--,--,--,--,--,60,53,4,4,A,B,8,6,32,24,28,28,214441,214442,028/050,023/050,032/050,030/050,060/100,053/100,--,--,--,--,--,--,60,53,4,4,A,B,8,6,32,24
29,29,29,214441,214442,033/050,020/050,030/050,025/050,063/100,045/100,--,--,--,--,--,--,63,45,4,4,A,C,8,5,32,20,29,29,214441,214442,033/050,020/050,030/050,025/050,063/100,045/100,--,--,--,--,--,--,63,45,4,4,A,C,8,5,32,20
30,30,30,214441,214442,026/050,019/050,022/050,021/050,048/100,040/100,--,--,--,--,--,--,48,40,4,4,C,P,5,4,20,16,30,30,214441,214442,026/050,019/050,022/050,021/050,048/100,040/100,--,--,--,--,--,--,48,40,4,4,C,P,5,4,20,16
31,31,31,214441,214442,030/050,029/050,039/050,025/050,069/100,054/100,--,--,--,--,--,--,69,54,4,4,A,B,8,6,32,24,31,31,214441,214442,030/050,029/050,039/050,025/050,069/100,054/100,--,--,--,--,--,--,69,54,4,4,A,B,8,6,32,24
32,32,32,214441,214442,017/050,020/050,010/050,AB/050,027/100,020/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,32,32,214441,214442,017/050,020/050,010/050,AB/050,027/100,020/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
33,33,33,214441,214442,032/050,014/050,022/050,AB/050,054/100,014/100,--,--,--,--,--,--,54,FF,4,4,B,F,6,0,24,0,33,33,214441,214442,032/050,014/050,022/050,AB/050,054/100,014/100,--,--,--,--,--,--,54,FF,4,4,B,F,6,0,24,0
34,34,34,214441,214442,044/050,034/050,020/050,035/050,064/100,069/100,--,--,--,--,--,--,64,69,4,4,A,A,8,8,32,32,34,34,214441,214442,044/050,034/050,020/050,035/050,064/100,069/100,--,--,--,--,--,--,64,69,4,4,A,A,8,8,32,32
35,35,35,214441,214442,027/050,026/050,033/050,031/050,060/100,057/100,--,--,--,--,--,--,60,57,4,4,A,B+,8,7,32,28,35,35,214441,214442,027/050,026/050,033/050,031/050,060/100,057/100,--,--,--,--,--,--,60,57,4,4,A,B+,8,7,32,28
36,36,36,214441,214442,036/050,039/050,024/050,028/050,060/100,067/100,--,--,--,--,--,--,60,67,4,4,A,A,8,8,32,32,36,36,214441,214442,036/050,039/050,024/050,028/050,060/100,067/100,--,--,--,--,--,--,60,67,4,4,A,A,8,8,32,32
37,37,37,214441,214442,030/050,028/050,024/050,021/050,054/100,049/100,--,--,--,--,--,--,54,49,4,4,B,C,6,5,24,20,37,37,214441,214442,030/050,028/050,024/050,021/050,054/100,049/100,--,--,--,--,--,--,54,49,4,4,B,C,6,5,24,20
38,38,38,214441,214442,024/050,023/050,020/050,003/050,044/100,026/100,--,--,--,--,--,--,44,FF,4,4,P,F,4,0,16,0,38,38,214441,214442,024/050,023/050,020/050,003/050,044/100,026/100,--,--,--,--,--,--,44,FF,4,4,P,F,4,0,16,0
39,39,39,214441,214442,021/050,033/050,022/050,023/050,043/100,056/100,--,--,--,--,--,--,43,56,4,4,P,B+,4,7,16,28,39,39,214441,214442,021/050,033/050,022/050,023/050,043/100,056/100,--,--,--,--,--,--,43,56,4,4,P,B+,4,7,16,28
40,40,40,214441,214442,021/050,028/050,021/050,003/050,042/100,031/100,--,--,--,--,--,--,42,FF,4,4,P,F,4,0,16,0,40,40,214441,214442,021/050,028/050,021/050,003/050,042/100,031/100,--,--,--,--,--,--,42,FF,4,4,P,F,4,0,16,0
41,41,41,214441,214442,026/050,022/050,020/050,025/050,046/100,047/100,--,--,--,--,--,--,46,47,4,4,C,C,5,5,20,20,41,41,214441,214442,026/050,022/050,020/050,025/050,046/100,047/100,--,--,--,--,--,--,46,47,4,4,C,C,5,5,20,20
42,42,42,214441,214442,019/050,026/050,009/050,005/050,028/100,031/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,42,42,214441,214442,019/050,026/050,009/050,005/050,028/100,031/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
43,43,43,214441,214442,020/050,026/050,026/050,003/050,046/100,029/100,--,--,--,--,--,--,46,FF,4,4,C,F,5,0,20,0,43,43,214441,214442,020/050,026/050,026/050,003/050,046/100,029/100,--,--,--,--,--,--,46,FF,4,4,C,F,5,0,20,0
44,44,44,214441,214442,029/050,034/050,029/050,025/050,058/100,059/100,--,--,--,--,--,--,58,59,4,4,B+,B+,7,7,28,28,44,44,214441,214442,029/050,034/050,029/050,025/050,058/100,059/100,--,--,--,--,--,--,58,59,4,4,B+,B+,7,7,28,28
45,45,45,214441,214442,026/050,025/050,034/050,015/050,060/100,040/100,--,--,--,--,--,--,60,FF,4,4,A,F,8,0,32,0,45,45,214441,214442,026/050,025/050,034/050,015/050,060/100,040/100,--,--,--,--,--,--,60,FF,4,4,A,F,8,0,32,0
46,46,46,214441,214442,016/050,030/050,027/050,020/050,043/100,050/100,--,--,--,--,--,--,43,50,4,4,P,B,4,6,16,24,46,46,214441,214442,016/050,030/050,027/050,020/050,043/100,050/100,--,--,--,--,--,--,43,50,4,4,P,B,4,6,16,24
47,47,47,214441,214442,030/050,023/050,027/050,021/050,057/100,044/100,--,--,--,--,--,--,57,44,4,4,B+,P,7,4,28,16,47,47,214441,214442,030/050,023/050,027/050,021/050,057/100,044/100,--,--,--,--,--,--,57,44,4,4,B+,P,7,4,28,16
48,48,48,214441,214442,019/050,029/050,033/050,020/050,052/100,049/100,--,--,--,--,--,--,52,49,4,4,B,C,6,5,24,20,48,48,214441,214442,019/050,029/050,033/050,020/050,052/100,049/100,--,--,--,--,--,--,52,49,4,4,B,C,6,5,24,20
49,49,49,214441,214442,035/050,032/050,027/050,023/050,062/100,055/100,--,--,--,--,--,--,62,55,4,4,A,B+,8,7,32,28,49,49,214441,214442,035/050,032/050,027/050,023/050,062/100,055/100,--,--,--,--,--,--,62,55,4,4,A,B+,8,7,32,28
50,50,50,214441,214442,020/050,023/050,020/050,020/050,040/100,043/100,--,--,--,--,--,--,40,43,4,4,P,P,4,4,16,16,50,50,214441,214442,020/050,023/050,020/050,020/050,040/100,043/100,--,--,--,--,--,--,40,43,4,4,P,P,4,4,16,16
51,51,51,214441,214442,032/050,030/050,027/050,024/050,059/100,054/100,--,--,--,--,--,--,59,54,4,4,B+,B,7,6,28,24,51,51,214441,214442,032/050,030/050,027/050,024/050,059/100,054/100,--,--,--,--,--,--,59,54,4,4,B+,B,7,6,28,24
52,52,52,214441,214442,036/050,027/050,026/050,020/050,062/100,047/100,--,--,--,--,--,--,62,47,4,4,A,C,8,5,32,20,52,52,214441,214442,036/050,027/050,026/050,020/050,062/100,047/100,--,--,--,--,--,--,62,47,4,4,A,C,8,5,32,20
53,53,53,214441,214442,028/050,031/050,026/050,027/050,054/100,058/100,--,--,--,--,--,--,54,58,4,4,B,B+,6,7,24,28,53,53,214441,214442,028/050,031/050,026/050,027/050,054/100,058/100,--,--,--,--,--,--,54,58,4,4,B,B+,6,7,24,28
54,54,54,214441,214442,021/050,024/050,024/050,AB/050,045/100,024/100,--,--,--,--,--,--,45,FF,4,4,C,F,5,0,20,0,54,54,214441,214442,021/050,024/050,024/050,AB/050,045/100,024/100,--,--,--,--,--,--,45,FF,4,4,C,F,5,0,20,0
55,55,55,214441,214442,027/050,027/050,032/050,022/050,059/100,049/100,--,--,--,--,--,--,59,49,4,4,B+,C,7,5,28,20,55,55,214441,214442,027/050,027/050,032/050,022/050,059/100,049/100,--,--,--,--,--,--,59,49,4,4,B+,C,7,5,28,20
56,56,56,214441,214442,025/050,023/050,021/050,022/050,046/100,045/100,--,--,--,--,--,--,46,45,4,4,C,C,5,5,20,20,56,56,214441,214442,025/050,023/050,021/050,022/050,046/100,045/100,--,--,--,--,--,--,46,45,4,4,C,C,5,5,20,20
57,57,57,214441,214442,033/050,029/050,032/050,027/050,065/100,056/100,--,--,--,--,--,--,65,56,4,4,A,B+,8,7,32,28,57,57,214441,214442,033/050,029/050,032/050,027/050,065/100,056/100,--,--,--,--,--,--,65,56,4,4,A,B+,8,7,32,28
58,58,58,214441,214442,036/050,027/050,024/050,011/050,060/100,038/100,--,--,--,--,--,--,60,FF,4,4,A,F,8,0,32,0,58,58,214441,214442,036/050,027/050,024/050,011/050,060/100,038/100,--,--,--,--,--,--,60,FF,4,4,A,F,8,0,32,0
59,59,59,214441,214442,031/050,027/050,023/050,026/050,054/100,053/100,--,--,--,--,--,--,54,53,4,4,B,B,6,6,24,24,59,59,214441,214442,031/050,027/050,023/050,026/050,054/100,053/100,--,--,--,--,--,--,54,53,4,4,B,B,6,6,24,24
60,60,60,214441,214442,010/050,032/050,30$/050,023/050,040/100,055/100,--,--,--,--,--,--,40,55,4,4,P,B+,4,7,16,28,60,60,214441,214442,010/050,032/050,30$/050,023/050,040/100,055/100,--,--,--,--,--,--,40,55,4,4,P,B+,4,7,16,28
61,61,61,214441,214442,028/050,021/050,029/050,011/050,057/100,032/100,--,--,--,--,--,--,57,FF,4,4,B+,F,7,0,28,0,61,61,214441,214442,028/050,021/050,029/050,011/050,057/100,032/100,--,--,--,--,--,--,57,FF,4,4,B+,F,7,0,28,0
62,62,62,214441,214442,024/050,024/050,024/050,020/050,048/100,044/100,--,--,--,--,--,--,48,44,4,4,C,P,5,4,20,16,62,62,214441,214442,024/050,024/050,024/050,020/050,048/100,044/100,--,--,--,--,--,--,48,44,4,4,C,P,5,4,20,16
63,63,63,214441,214442,023/050,024/050,020/050,026/050,043/100,050/100,--,--,--,--,--,--,43,50,4,4,P,B,4,6,16,24,63,63,214441,214442,023/050,024/050,020/050,026/050,043/100,050/100,--,--,--,--,--,--,43,50,4,4,P,B,4,6,16,24
64,64,64,214441,214442,037/050,031/050,024/050,025/050,061/100,056/100,--,--,--,--,--,--,61,56,4,4,A,B+,8,7,32,28,64,64,214441,214442,037/050,031/050,024/050,025/050,061/100,056/100,--,--,--,--,--,--,61,56,4,4,A,B+,8,7,32,28
65,65,65,214441,214442,030/050,024/050,028/050,032/050,058/100,056/100,--,--,--,--,--,--,58,56,4,4,B+,B+,7,7,28,28,65,65,214441,214442,030/050,024/050,028/050,032/050,058/100,056/100,--,--,--,--,--,--,58,56,4,4,B+,B+,7,7,28,28
66,66,66,214441,214442,011/050,018/050,AB/050,006/050,011/100,024/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,66,66,214441,214442,011/050,018/050,AB/050,006/050,011/100,024/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
67,67,67,214441,214442,032/050,031/050,025/050,024/050,057/100,055/100,--,--,--,--,--,--,57,55,4,4,B+,B+,7,7,28,28,67,67,214441,214442,032/050,031/050,025/050,024/050,057/100,055/100,--,--,--,--,--,--,57,55,4,4,B+,B+,7,7,28,28
68,68,68,214441,214442,019/050,030/050,025/050,023/050,044/100,053/100,--,--,--,--,--,--,44,53,4,4,P,B,4,6,16,24,68,68,214441,214442,019/050,030/050,025/050,023/050,044/100,053/100,--,--,--,--,--,--,44,53,4,4,P,B,4,6,16,24
69,69,69,214441,214442,030/050,020/050,020/050,020/050,050/100,040/100,--,--,--,--,--,--,50,40,4,4,B,P,6,4,24,16,69,69,214441,214442,030/050,020/050,020/050,020/050,050/100,040/100,--,--,--,--,--,--,50,40,4,4,B,P,6,4,24,16
70,70,70,214441,214442,035/050,036/050,026/050,022/050,061/100,058/100,--,--,--,--,--,--,61,58,4,4,A,B+,8,7,32,28,70,70,214441,214442,035/050,036/050,026/050,022/050,061/100,058/100,--,--,--,--,--,--,61,58,4,4,A,B+,8,7,32,28
71,71,71,214441,214442,034/050,022/050,020/050,005/050,054/100,027/100,--,--,--,--,--,--,54,FF,4,4,B,F,6,0,24,0,71,71,214441,214442,034/050,022/050,020/050,005/050,054/100,027/100,--,--,--,--,--,--,54,FF,4,4,B,F,6,0,24,0
72,72,72,214441,214442,032/050,040/050,022/050,030/050,054/100,070/100,--,--,--,--,--,--,54,70,4,4,B,A+,6,9,24,36,72,72,214441,214442,032/050,040/050,022/050,030/050,054/100,070/100,--,--,--,--,--,--,54,70,4,4,B,A+,6,9,24,36
73,73,73,214441,214442,012/050,029/050,006/050,AB/050,018/100,029/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,73,73,214441,214442,012/050,029/050,006/050,AB/050,018/100,029/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
74,74,74,214441,214442,021/050,031/050,029/050,021/050,050/100,052/100,--,--,--,--,--,--,50,52,4,4,B,B,6,6,24,24,74,74,214441,214442,021/050,031/050,029/050,021/050,050/100,052/100,--,--,--,--,--,--,50,52,4,4,B,B,6,6,24,24
75,75,75,214441,214442,025/050,021/050,021/050,024/050,046/100,045/100,--,--,--,--,--,--,46,45,4,4,C,C,5,5,20,20,75,75,214441,214442,025/050,021/050,021/050,024/050,046/100,045/100,--,--,--,--,--,--,46,45,4,4,C,C,5,5,20,20
76,76,76,214441,214442,023/050,028/050,024/050,022/050,047/100,050/100,--,--,--,--,--,--,47,50,4,4,C,B,5,6,20,24,76,76,214441,214442,023/050,028/050,024/050,022/050,047/100,050/100,--,--,--,--,--,--,47,50,4,4,C,B,5,6,20,24
77,77,77,214441,214442,028/050,020/050,021/050,020/050,049/100,040/100,--,--,--,--,--,--,49,40,4,4,C,P,5,4,20,16,77,77,214441,214442,028/050,020/050,021/050,020/050,049/100,040/100,--,--,--,--,--,--,49,40,4,4,C,P,5,4,20,16
78,78,78,214441,214442,018/050,017/050,014/050,23$/050,032/100,040/100,--,--,--,--,--,--,FF,40,4,4,F,P,0,4,0,16,78,78,214441,214442,018/050,017/050,014/050,23$/050,032/100,040/100,--,--,--,--,--,--,FF,40,4,4,F,P,0,4,0,16
79,79,79,214441,214442,031/050,035/050,029/050,028/050,060/100,063/100,--,--,--,--,--,--,60,63,4,4,A,A,8,8,32,32,79,79,214441,214442,031/050,035/050,029/050,028/050,060/100,063/100,--,--,--,--,--,--,60,63,4,4,A,A,8,8,32,32
80,80,80,214441,214442,045/050,036/050,036/050,020/050,081/100,056/100,--,--,--,--,--,--,81,56,4,4,O,B+,10,7,40,28,80,80,214441,214442,045/050,036/050,036/050,020/050,081/100,056/100,--,--,--,--,--,--,81,56,4,4,O,B+,10,7,40,28
81,81,81,214441,214442,026/050,026/050,024/050,029/050,050/100,055/100,--,--,--,--,--,--,50,55,4,4,B,B+,6,7,24,28,81,81,214441,214442,026/050,026/050,024/050,029/050,050/100,055/100,--,--,--,--,--,--,50,55,4,4,B,B+,6,7,24,28
82,82,82,214441,214442,026/050,026/050,028/050,032/050,054/100,058/100,--,--,--,--,--,--,54,58,4,4,B,B+,6,7,24,28,82,82,214441,214442,026/050,026/050,028/050,032/050,054/100,058/100,--,--,--,--,--,--,54,58,4,4,B,B+,6,7,24,28
83,83,83,214441,214442,017/050,027/050,026/050,016/050,043/100,043/100,--,--,--,--,--,--,43,FF,4,4,P,F,4,0,16,0,83,83,214441,214442,017/050,027/050,026/050,016/050,043/100,043/100,--,--,--,--,--,--,43,FF,4,4,P,F,4,0,16,0
84,84,84,214441,214442,026/050,025/050,023/050,020/050,049/100,045/100,--,--,--,--,--,--,49,45,4,4,C,C,5,5,20,20,84,84,214441,214442,026/050,025/050,023/050,020/050,049/100,045/100,--,--,--,--,--,--,49,45,4,4,C,C,5,5,20,20
85,85,85,214441,214442,032/050,034/050,023/050,AB/050,055/100,034/100,--,--,--,--,--,--,55,FF,4,4,B+,F,7,0,28,0,85,85,214441,214442,032/050,034/050,023/050,AB/050,055/100,034/100,--,--,--,--,--,--,55,FF,4,4,B+,F,7,0,28,0
86,86,86,214441,214442,023/050,030/050,022/050,025/050,045/100,055/100,--,--,--,--,--,--,45,55,4,4,C,B+,5,7,20,28,86,86,214441,214442,023/050,030/050,022/050,025/050,045/100,055/100,--,--,--,--,--,--,45,55,4,4,C,B+,5,7,20,28
87,87,87,214441,214442,028/050,028/050,021/050,024/050,049/100,052/100,--,--,--,--,--,--,49,52,4,4,C,B,5,6,20,24,87,87,214441,214442,028/050,028/050,021/050,024/050,049/100,052/100,--,--,--,--,--,--,49,52,4,4,C,B,5,6,20,24
88,88,88,214441,214442,029/050,025/050,029/050,028/050,058/100,053/100,--,--,--,--,--,--,58,53,4,4,B+,B,7,6,28,24,88,88,214441,214442,029/050,025/050,029/050,028/050,058/100,053/100,--,--,--,--,--,--,58,53,4,4,B+,B,7,6,28,24
89,89,89,214441,214442,027/050,027/050,022/050,022/050,049/100,049/100,--,--,--,--,--,--,49,49,4,4,C,C,5,5,20,20,89,89,214441,214442,027/050,027/050,022/050,022/050,049/100,049/100,--,--,--,--,--,--,49,49,4,4,C,C,5,5,20,20
90,90,90,214441,214442,021/050,029/050,022/050,021/050,043/100,050/100,--,--,--,--,--,--,43,50,4,4,P,B,4,6,16,24,90,90,214441,214442,021/050,029/050,022/050,021/050,043/100,050/100,--,--,--,--,--,--,43,50,4,4,P,B,4,6,16,24
91,91,91,214441,214442,032/050,030/050,020/050,029/050,052/100,059/100,--,--,--,--,--,--,52,59,4,4,B,B+,6,7,24,28,91,91,214441,214442,032/050,030/050,020/050,029/050,052/100,059/100,--,--,--,--,--,--,52,59,4,4,B,B+,6,7,24,28
92,92,92,214441,214442,035/050,026/050,024/050,025/050,059/100,051/100,--,--,--,--,--,--,59,51,4,4,B+,B,7,6,28,24,92,92,214441,214442,035/050,026/050,024/050,025/050,059/100,051/100,--,--,--,--,--,--,59,51,4,4,B+,B,7,6,28,24
93,93,93,214441,214442,023/050,025/050,020/050,023/050,043/100,048/100,--,--,--,--,--,--,43,48,4,4,P,C,4,5,16,20,93,93,214441,214442,023/050,025/050,020/050,023/050,043/100,048/100,--,--,--,--,--,--,43,48,4,4,P,C,4,5,16,20
94,94,94,214441,214442,023/050,018/050,AB/050,AB/050,023/100,018/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,94,94,214441,214442,023/050,018/050,AB/050,AB/050,023/100,018/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
95,95,95,214441,214442,021/050,030/050,020/050,022/050,041/100,052/100,--,--,--,--,--,--,41,52,4,4,P,B,4,6,16,24,95,95,214441,214442,021/050,030/050,020/050,022/050,041/100,052/100,--,--,--,--,--,--,41,52,4,4,P,B,4,6,16,24
96,96,96,214441,214442,031/050,027/050,024/050,022/050,055/100,049/100,--,--,--,--,--,--,55,49,4,4,B+,C,7,5,28,20,96,96,214441,214442,031/050,027/050,024/050,022/050,055/100,049/100,--,--,--,--,--,--,55,49,4,4,B+,C,7,5,28,20
