,Unnamed: 0,Unnamed: 0,subject,subject,OE,OE,TH,TH,OE_TH,OE_TH,TW,TW,PR,PR,OR,OR,TOT,TOT,CRD,CRD,GRD,GRD,PTS1,PTS1,PTS2,PTS2,Unnamed: 0,Unnamed: 0,subject,subject,OE,OE,TH,TH,OE_TH,OE_TH,TW,TW,PR,PR,OR,OR,TOT,TOT,CRD,CRD,GRD,GRD,PTS1,PTS1,PTS2,PTS2
97,97,97,214441,214442,028/050,036/050,021/050,027/050,049/100,063/100,--,--,--,--,--,--,49,63,4,4,C,A,5,8,20,32,97,97,214441,214442,028/050,036/050,021/050,027/050,049/100,063/100,--,--,--,--,--,--,49,63,4,4,C,A,5,8,20,32
98,98,98,214441,214442,031/050,024/050,027/050,026/050,058/100,050/100,--,--,--,--,--,--,58,50,4,4,B+,B,7,6,28,24,98,98,214441,214442,031/050,024/050,027/050,026/050,058/100,050/100,--,--,--,--,--,--,58,50,4,4,B+,B,7,6,28,24
99,99,99,214441,214442,047/050,031/050,032/050,024/050,079/100,055/100,--,--,--,--,--,--,79,55,4,4,A+,B+,9,7,36,28,99,99,214441,214442,047/050,031/050,032/050,024/050,079/100,055/100,--,--,--,--,--,--,79,55,4,4,A+,B+,9,7,36,28
100,100,100,214441,214442,028/050,021/050,017/050,027/050,045/100,048/100,--,--,--,--,--,--,FF,48,4,4,F,C,0,5,0,20,100,100,214441,214442,028/050,021/050,017/050,027/050,045/100,048/100,--,--,--,--,--,--,FF,48,4,4,F,C,0,5,0,20
101,101,101,214441,214442,032/050,036/050,030/050,032/050,062/100,068/100,--,--,--,--,--,--,62,68,4,4,A,A,8,8,32,32,101,101,214441,214442,032/050,036/050,030/050,032/050,062/100,068/100,--,--,--,--,--,--,62,68,4,4,A,A,8,8,32,32
102,102,102,214441,214442,035/050,031/050,041/050,020/050,076/100,051/100,--,--,--,--,--,--,76,51,4,4,A+,B,9,6,36,24,102,102,214441,214442,035/050,031/050,041/050,020/050,076/100,051/100,--,--,--,--,--,--,76,51,4,4,A+,B,9,6,36,24
103,103,103,214441,214442,022/050,019/050,024/050,023/050,046/100,042/100,--,--,--,--,--,--,46,42,4,4,C,P,5,4,20,16,103,103,214441,214442,022/050,019/050,024/050,023/050,046/100,042/100,--,--,--,--,--,--,46,42,4,4,C,P,5,4,20,16
104,104,104,214441,214442,039/050,028/050,020/050,020/050,059/100,048/100,--,--,--,--,--,--,59,48,4,4,B+,C,7,5,28,20,104,104,214441,214442,039/050,028/050,020/050,020/050,059/100,048/100,--,--,--,--,--,--,59,48,4,4,B+,C,7,5,28,20
105,105,105,214441,214442,035/050,031/050,034/050,027/050,069/100,058/100,--,--,--,--,--,--,69,58,4,4,A,B+,8,7,32,28,105,105,214441,214442,035/050,031/050,034/050,027/050,069/100,058/100,--,--,--,--,--,--,69,58,4,4,A,B+,8,7,32,28
106,106,106,214441,214442,039/050,025/050,010/050,022/050,049/100,047/100,--,--,--,--,--,--,FF,47,4,4,F,C,0,5,0,20,106,106,214441,214442,039/050,025/050,010/050,022/050,049/100,047/100,--,--,--,--,--,--,FF,47,4,4,F,C,0,5,0,20
107,107,107,214441,214442,041/050,038/050,022/050,024/050,063/100,062/100,--,--,--,--,--,--,63,62,4,4,A,A,8,8,32,32,107,107,214441,214442,041/050,038/050,022/050,024/050,063/100,062/100,--,--,--,--,--,--,63,62,4,4,A,A,8,8,32,32
108,108,108,214441,214442,034/050,027/050,021/050,AB/050,055/100,027/100,--,--,--,--,--,--,55,FF,4,4,B+,F,7,0,28,0,108,108,214441,214442,034/050,027/050,021/050,AB/050,055/100,027/100,--,--,--,--,--,--,55,FF,4,4,B+,F,7,0,28,0
109,109,109,214441,214442,024/050,025/050,037/050,022/050,061/100,047/100,--,--,--,--,--,--,61,47,4,4,A,C,8,5,32,20,109,109,214441,214442,024/050,025/050,037/050,022/050,061/100,047/100,--,--,--,--,--,--,61,47,4,4,A,C,8,5,32,20
110,110,110,214441,214442,029/050,032/050,039/050,028/050,068/100,060/100,--,--,--,--,--,--,68,60,4,4,A,A,8,8,32,32,110,110,214441,214442,029/050,032/050,039/050,028/050,068/100,060/100,--,--,--,--,--,--,68,60,4,4,A,A,8,8,32,32
111,111,111,214441,214442,022/050,027/050,20$/050,030/050,042/100,057/100,--,--,--,--,--,--,42,57,4,4,P,B+,4,7,16,28,111,111,214441,214442,022/050,027/050,20$/050,030/050,042/100,057/100,--,--,--,--,--,--,42,57,4,4,P,B+,4,7,16,28
112,112,112,214441,214442,033/050,033/050,034/050,030/050,067/100,063/100,--,--,--,--,--,--,67,63,4,4,A,A,8,8,32,32,112,112,214441,214442,033/050,033/050,034/050,030/050,067/100,063/100,--,--,--,--,--,--,67,63,4,4,A,A,8,8,32,32
113,113,113,214441,214442,020/050,033/050,020/050,023/050,040/100,056/100,--,--,--,--,--,--,40,56,4,4,P,B+,4,7,16,28,113,113,214441,214442,020/050,033/050,020/050,023/050,040/100,056/100,--,--,--,--,--,--,40,56,4,4,P,B+,4,7,16,28
114,114,114,214441,214442,023/050,022/050,022/050,AB/050,045/100,022/100,--,--,--,--,--,--,45,FF,4,4,C,F,5,0,20,0,114,114,214441,214442,023/050,022/050,022/050,AB/050,045/100,022/100,--,--,--,--,--,--,45,FF,4,4,C,F,5,0,20,0
115,115,115,214441,214442,033/050,019/050,022/050,025/050,055/100,044/100,--,--,--,--,--,--,55,44,4,4,B+,P,7,4,28,16,115,115,214441,214442,033/050,019/050,022/050,025/050,055/100,044/100,--,--,--,--,--,--,55,44,4,4,B+,P,7,4,28,16
116,116,116,214441,214442,025/050,020/050,026/050,005/050,051/100,025/100,--,--,--,--,--,--,51,FF,4,4,B,F,6,0,24,0,116,116,214441,214442,025/050,020/050,026/050,005/050,051/100,025/100,--,--,--,--,--,--,51,FF,4,4,B,F,6,0,24,0
117,117,117,214441,214442,041/050,047/050,028/050,026/050,069/100,073/100,--,--,--,--,--,--,69,73,4,4,A,A+,8,9,32,36,117,117,214441,214442,041/050,047/050,028/050,026/050,069/100,073/100,--,--,--,--,--,--,69,73,4,4,A,A+,8,9,32,36
118,118,118,214441,214442,027/050,022/050,022/050,AB/050,049/100,022/100,--,--,--,--,--,--,49,FF,4,4,C,F,5,0,20,0,118,118,214441,214442,027/050,022/050,022/050,AB/050,049/100,022/100,--,--,--,--,--,--,49,FF,4,4,C,F,5,0,20,0
119,119,119,214441,214442,020/050,025/050,028/050,022/050,048/100,047/100,--,--,--,--,--,--,48,47,4,4,C,C,5,5,20,20,119,119,214441,214442,020/050,025/050,028/050,022/050,048/100,047/100,--,--,--,--,--,--,48,47,4,4,C,C,5,5,20,20
120,120,120,214441,214442,022/050,024/050,027/050,024/050,049/100,048/100,--,--,--,--,--,--,49,48,4,4,C,C,5,5,20,20,120,120,214441,214442,022/050,024/050,027/050,024/050,049/100,048/100,--,--,--,--,--,--,49,48,4,4,C,C,5,5,20,20
121,121,121,214441,214442,020/050,030/050,026/050,010/050,046/100,040/100,--,--,--,--,--,--,46,FF,4,4,C,F,5,0,20,0,121,121,214441,214442,020/050,030/050,026/050,010/050,046/100,040/100,--,--,--,--,--,--,46,FF,4,4,C,F,5,0,20,0
122,122,122,214441,214442,025/050,024/050,020/050,032/050,045/100,056/100,--,--,--,--,--,--,45,56,4,4,C,B+,5,7,20,28,122,122,214441,214442,025/050,024/050,020/050,032/050,045/100,056/100,--,--,--,--,--,--,45,56,4,4,C,B+,5,7,20,28
123,123,123,214441,214442,032/050,030/050,028/050,032/050,060/100,062/100,--,--,--,--,--,--,60,62,4,4,A,A,8,8,32,32,123,123,214441,214442,032/050,030/050,028/050,032/050,060/100,062/100,--,--,--,--,--,--,60,62,4,4,A,A,8,8,32,32
124,124,124,214441,214442,026/050,030/050,022/050,027/050,048/100,057/100,--,--,--,--,--,--,48,57,4,4,C,B+,5,7,20,28,124,124,214441,214442,026/050,030/050,022/050,027/050,048/100,057/100,--,--,--,--,--,--,48,57,4,4,C,B+,5,7,20,28
125,125,125,214441,214442,022/050,014/050,020/050,026/050,042/100,040/100,--,--,--,--,--,--,42,40,4,4,P,P,4,4,16,16,125,125,214441,214442,022/050,014/050,020/050,026/050,042/100,040/100,--,--,--,--,--,--,42,40,4,4,P,P,4,4,16,16
126,126,126,214441,214442,033/050,022/050,011/050,000/050,044/100,022/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,126,126,214441,214442,033/050,022/050,011/050,000/050,044/100,022/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
127,127,127,214441,214442,034/050,021/050,022/050,022/050,056/100,043/100,--,--,--,--,--,--,56,43,4,4,B+,P,7,4,28,16,127,127,214441,214442,034/050,021/050,022/050,022/050,056/100,043/100,--,--,--,--,--,--,56,43,4,4,B+,P,7,4,28,16
128,128,128,214441,214442,030/050,033/050,027/050,030/050,057/100,063/100,--,--,--,--,--,--,57,63,4,4,B+,A,7,8,28,32,128,128,214441,214442,030/050,033/050,027/050,030/050,057/100,063/100,--,--,--,--,--,--,57,63,4,4,B+,A,7,8,28,32
129,129,129,214441,214442,042/050,031/050,030/050,029/050,072/100,060/100,--,--,--,--,--,--,72,60,4,4,A+,A,9,8,36,32,129,129,214441,214442,042/050,031/050,030/050,029/050,072/100,060/100,--,--,--,--,--,--,72,60,4,4,A+,A,9,8,36,32
130,130,130,214441,214442,036/050,018/050,024/050,024/050,060/100,042/100,--,--,--,--,--,--,60,42,4,4,A,P,8,4,32,16,130,130,214441,214442,036/050,018/050,024/050,024/050,060/100,042/100,--,--,--,--,--,--,60,42,4,4,A,P,8,4,32,16
131,131,131,214441,214442,040/050,022/050,038/050,033/050,078/100,055/100,--,--,--,--,--,--,78,55,4,4,A+,B+,9,7,36,28,131,131,214441,214442,040/050,022/050,038/050,033/050,078/100,055/100,--,--,--,--,--,--,78,55,4,4,A+,B+,9,7,36,28
132,132,132,214441,214442,033/050,034/050,025/050,20$/050,058/100,054/100,--,--,--,--,--,--,58,54,4,4,B+,B,7,6,28,24,132,132,214441,214442,033/050,034/050,025/050,20$/050,058/100,054/100,--,--,--,--,--,--,58,54,4,4,B+,B,7,6,28,24
133,133,133,214441,214442,026/050,018/050,013/050,22$/050,039/100,040/100,--,--,--,--,--,--,FF,40,4,4,F,P,0,4,0,16,133,133,214441,214442,026/050,018/050,013/050,22$/050,039/100,040/100,--,--,--,--,--,--,FF,40,4,4,F,P,0,4,0,16
134,134,134,214441,214442,015/050,034/050,008/050,007/050,023/100,041/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,134,134,214441,214442,015/050,034/050,008/050,007/050,023/100,041/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
135,135,135,214441,214442,024/050,022/050,014/050,010/050,038/100,032/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,135,135,214441,214442,024/050,022/050,014/050,010/050,038/100,032/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
136,136,136,214441,214442,023/050,031/050,027/050,020/050,050/100,051/100,--,--,--,--,--,--,50,51,4,4,B,B,6,6,24,24,136,136,214441,214442,023/050,031/050,027/050,020/050,050/100,051/100,--,--,--,--,--,--,50,51,4,4,B,B,6,6,24,24
137,137,137,214441,214442,036/050,033/050,037/050,024/050,073/100,057/100,--,--,--,--,--,--,73,57,4,4,A+,B+,9,7,36,28,137,137,214441,214442,036/050,033/050,037/050,024/050,073/100,057/100,--,--,--,--,--,--,73,57,4,4,A+,B+,9,7,36,28
138,138,138,214441,214442,035/050,021/050,022/050,027/050,057/100,048/100,--,--,--,--,--,--,57,48,4,4,B+,C,7,5,28,20,138,138,214441,214442,035/050,021/050,022/050,027/050,057/100,048/100,--,--,--,--,--,--,57,48,4,4,B+,C,7,5,28,20
139,139,139,214441,214442,022/050,025/050,022/050,022/050,044/100,047/100,--,--,--,--,--,--,44,47,4,4,P,C,4,5,16,20,139,139,214441,214442,022/050,025/050,022/050,022/050,044/100,047/100,--,--,--,--,--,--,44,47,4,4,P,C,4,5,16,20
140,140,140,214441,214442,018/050,029/050,026/050,020/050,044/100,049/100,--,--,--,--,--,--,44,49,4,4,P,C,4,5,16,20,140,140,214441,214442,018/050,029/050,026/050,020/050,044/100,049/100,--,--,--,--,--,--,44,49,4,4,P,C,4,5,16,20
141,141,141,214441,214442,037/050,029/050,038/050,036/050,075/100,065/100,--,--,--,--,--,--,75,65,4,4,A+,A,9,8,36,32,141,141,214441,214442,037/050,029/050,038/050,036/050,075/100,065/100,--,--,--,--,--,--,75,65,4,4,A+,A,9,8,36,32
142,142,142,214441,214442,028/050,032/050,038/050,026/050,066/100,058/100,--,--,--,--,--,--,66,58,4,4,A,B+,8,7,32,28,142,142,214441,214442,028/050,032/050,038/050,026/050,066/100,058/100,--,--,--,--,--,--,66,58,4,4,A,B+,8,7,32,28
143,143,143,214441,214442,034/050,026/050,036/050,008/050,070/100,034/100,--,--,--,--,--,--,70,FF,4,4,A+,F,9,0,36,0,143,143,214441,214442,034/050,026/050,036/050,008/050,070/100,034/100,--,--,--,--,--,--,70,FF,4,4,A+,F,9,0,36,0
144,144,144,214441,214442,034/050,027/050,038/050,029/050,072/100,056/100,--,--,--,--,--,--,72,56,4,4,A+,B+,9,7,36,28,144,144,214441,214442,034/050,027/050,038/050,029/050,072/100,056/100,--,--,--,--,--,--,72,56,4,4,A+,B+,9,7,36,28
145,145,145,214441,214442,034/050,028/050,025/050,016/050,059/100,044/100,--,--,--,--,--,--,59,FF,4,4,B+,F,7,0,28,0,145,145,214441,214442,034/050,028/050,025/050,016/050,059/100,044/100,--,--,--,--,--,--,59,FF,4,4,B+,F,7,0,28,0
146,146,146,214441,214442,040/050,034/050,038/050,036/050,078/100,070/100,--,--,--,--,--,--,78,70,4,4,A+,A+,9,9,36,36,146,146,214441,214442,040/050,034/050,038/050,036/050,078/100,070/100,--,--,--,--,--,--,78,70,4,4,A+,A+,9,9,36,36
147,147,147,214441,214442,017/050,014/050,003/050,006/050,020/100,020/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,147,147,214441,214442,017/050,014/050,003/050,006/050,020/100,020/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
148,148,148,214441,214442,023/050,030/050,023/050,028/050,046/100,058/100,--,--,--,--,--,--,46,58,4,4,C,B+,5,7,20,28,148,148,214441,214442,023/050,030/050,023/050,028/050,046/100,058/100,--,--,--,--,--,--,46,58,4,4,C,B+,5,7,20,28
149,149,149,214441,214442,038/050,031/050,037/050,025/050,075/100,056/100,--,--,--,--,--,--,75,56,4,4,A+,B+,9,7,36,28,149,149,214441,214442,038/050,031/050,037/050,025/050,075/100,056/100,--,--,--,--,--,--,75,56,4,4,A+,B+,9,7,36,28
150,150,150,214441,214442,023/050,023/050,021/050,029/050,044/100,052/100,--,--,--,--,--,--,44,52,4,4,P,B,4,6,16,24,150,150,214441,214442,023/050,023/050,021/050,029/050,044/100,052/100,--,--,--,--,--,--,44,52,4,4,P,B,4,6,16,24
151,151,151,214441,214442,024/050,033/050,027/050,035/050,051/100,068/100,--,--,--,--,--,--,51,68,4,4,B,A,6,8,24,32,151,151,214441,214442,024/050,033/050,027/050,035/050,051/100,068/100,--,--,--,--,--,--,51,68,4,4,B,A,6,8,24,32
152,152,152,214441,214442,023/050,024/050,034/050,027/050,057/100,051/100,--,--,--,--,--,--,57,51,4,4,B+,B,7,6,28,24,152,152,214441,214442,023/050,024/050,034/050,027/050,057/100,051/100,--,--,--,--,--,--,57,51,4,4,B+,B,7,6,28,24
153,153,153,214441,214442,032/050,022/050,030/050,020/050,062/100,042/100,--,--,--,--,--,--,62,42,4,4,A,P,8,4,32,16,153,153,214441,214442,032/050,022/050,030/050,020/050,062/100,042/100,--,--,--,--,--,--,62,42,4,4,A,P,8,4,32,16
154,154,154,214441,214442,025/050,020/050,036/050,021/050,061/100,041/100,--,--,--,--,--,--,61,41,4,4,A,P,8,4,32,16,154,154,214441,214442,025/050,020/050,036/050,021/050,061/100,041/100,--,--,--,--,--,--,61,41,4,4,A,P,8,4,32,16
155,155,155,214441,214442,021/050,023/050,009/050,006/050,030/100,029/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,155,155,214441,214442,021/050,023/050,009/050,006/050,030/100,029/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
156,156,156,214441,214442,028/050,042/050,024/050,020/050,052/100,062/100,--,--,--,--,--,--,52,62,4,4,B,A,6,8,24,32,156,156,214441,214442,028/050,042/050,024/050,020/050,052/100,062/100,--,--,--,--,--,--,52,62,4,4,B,A,6,8,24,32
157,157,157,214441,214442,033/050,026/050,028/050,020/050,061/100,046/100,--,--,--,--,--,--,61,46,4,4,A,C,8,5,32,20,157,157,214441,214442,033/050,026/050,028/050,020/050,061/100,046/100,--,--,--,--,--,--,61,46,4,4,A,C,8,5,32,20
158,158,158,214441,214442,036/050,037/050,031/050,030/050,067/100,067/100,--,--,--,--,--,--,67,67,4,4,A,A,8,8,32,32,158,158,214441,214442,036/050,037/050,031/050,030/050,067/100,067/100,--,--,--,--,--,--,67,67,4,4,A,A,8,8,32,32
159,159,159,214441,214442,041/050,037/050,034/050,031/050,075/100,068/100,--,--,--,--,--,--,75,68,4,4,A+,A,9,8,36,32,159,159,214441,214442,041/050,037/050,034/050,031/050,075/100,068/100,--,--,--,--,--,--,75,68,4,4,A+,A,9,8,36,32
160,160,160,214441,214442,034/050,031/050,032/050,020/050,066/100,051/100,--,--,--,--,--,--,66,51,4,4,A,B,8,6,32,24,160,160,214441,214442,034/050,031/050,032/050,020/050,066/100,051/100,--,--,--,--,--,--,66,51,4,4,A,B,8,6,32,24
161,161,161,214441,214442,034/050,033/050,022/050,20$/050,056/100,053/100,--,--,--,--,--,--,56,53,4,4,B+,B,7,6,28,24,161,161,214441,214442,034/050,033/050,022/050,20$/050,056/100,053/100,--,--,--,--,--,--,56,53,4,4,B+,B,7,6,28,24
162,162,162,214441,214442,033/050,026/050,020/050,022/050,053/100,048/100,--,--,--,--,--,--,53,48,4,4,B,C,6,5,24,20,162,162,214441,214442,033/050,026/050,020/050,022/050,053/100,048/100,--,--,--,--,--,--,53,48,4,4,B,C,6,5,24,20
163,163,163,214441,214442,035/050,026/050,035/050,20$/050,070/100,046/100,--,--,--,--,--,--,70,46,4,4,A+,C,9,5,36,20,163,163,214441,214442,035/050,026/050,035/050,20$/050,070/100,046/100,--,--,--,--,--,--,70,46,4,4,A+,C,9,5,36,20
164,164,164,214441,214442,028/050,028/050,025/050,031/050,053/100,059/100,--,--,--,--,--,--,53,59,4,4,B,B+,6,7,24,28,164,164,214441,214442,028/050,028/050,025/050,031/050,053/100,059/100,--,--,--,--,--,--,53,59,4,4,B,B+,6,7,24,28
165,165,165,214441,214442,026/050,020/050,20$/050,020/050,046/100,040/100,--,--,--,--,--,--,46,40,4,4,C,P,5,4,20,16,165,165,214441,214442,026/050,020/050,20$/050,020/050,046/100,040/100,--,--,--,--,--,--,46,40,4,4,C,P,5,4,20,16
166,166,166,214441,214442,016/050,027/050,24$/050,023/050,040/100,050/100,--,--,--,--,--,--,40,50,4,4,P,B,4,6,16,24,166,166,214441,214442,016/050,027/050,24$/050,023/050,040/100,050/100,--,--,--,--,--,--,40,50,4,4,P,B,4,6,16,24
167,167,167,214441,214442,039/050,033/050,035/050,026/050,074/100,059/100,--,--,--,--,--,--,74,59,4,4,A+,B+,9,7,36,28,167,167,214441,214442,039/050,033/050,035/050,026/050,074/100,059/100,--,--,--,--,--,--,74,59,4,4,A+,B+,9,7,36,28
168,168,168,214441,214442,026/050,032/050,030/050,024/050,056/100,056/100,--,--,--,--,--,--,56,56,4,4,B+,B+,7,7,28,28,168,168,214441,214442,026/050,032/050,030/050,024/050,056/100,056/100,--,--,--,--,--,--,56,56,4,4,B+,B+,7,7,28,28
169,169,169,214441,214442,031/050,035/050,040/050,030/050,071/100,065/100,--,--,--,--,--,--,71,65,4,4,A+,A,9,8,36,32,169,169,214441,214442,031/050,035/050,040/050,030/050,071/100,065/100,--,--,--,--,--,--,71,65,4,4,A+,A,9,8,36,32
170,170,170,214441,214442,025/050,015/050,024/050,025/050,049/100,040/100,--,--,--,--,--,--,49,40,4,4,C,P,5,4,20,16,170,170,214441,214442,025/050,015/050,024/050,025/050,049/100,040/100,--,--,--,--,--,--,49,40,4,4,C,P,5,4,20,16
171,171,171,214441,214442,030/050,016/050,20$/050,029/050,050/100,045/100,--,--,--,--,--,--,50,45,4,4,B,C,6,5,24,20,171,171,214441,214442,030/050,016/050,20$/050,029/050,050/100,045/100,--,--,--,--,--,--,50,45,4,4,B,C,6,5,24,20
172,172,172,214441,214442,032/050,032/050,028/050,026/050,060/100,058/100,--,--,--,--,--,--,60,58,4,4,A,B+,8,7,32,28,172,172,214441,214442,032/050,032/050,028/050,026/050,060/100,058/100,--,--,--,--,--,--,60,58,4,4,A,B+,8,7,32,28
173,173,173,214441,214442,031/050,032/050,035/050,029/050,066/100,061/100,--,--,--,--,--,--,66,61,4,4,A,A,8,8,32,32,173,173,214441,214442,031/050,032/050,035/050,029/050,066/100,061/100,--,--,--,--,--,--,66,61,4,4,A,A,8,8,32,32
174,174,174,214441,214442,036/050,034/050,047/050,031/050,083/100,065/100,--,--,--,--,--,--,83,65,4,4,O,A,10,8,40,32,174,174,214441,214442,036/050,034/050,047/050,031/050,083/100,065/100,--,--,--,--,--,--,83,65,4,4,O,A,10,8,40,32
175,175,175,214441,214442,022/050,030/050,022/050,024/050,044/100,054/100,--,--,--,--,--,--,44,54,4,4,P,B,4,6,16,24,175,175,214441,214442,022/050,030/050,022/050,024/050,044/100,054/100,--,--,--,--,--,--,44,54,4,4,P,B,4,6,16,24
176,176,176,214441,214442,033/050,020/050,024/050,022/050,057/100,042/100,--,--,--,--,--,--,57,42,4,4,B+,P,7,4,28,16,176,176,214441,214442,033/050,020/050,024/050,022/050,057/100,042/100,--,--,--,--,--,--,57,42,4,4,B+,P,7,4,28,16
177,177,177,214441,214442,027/050,034/050,020/050,024/050,047/100,058/100,--,--,--,--,--,--,47,58,4,4,C,B+,5,7,20,28,177,177,214441,214442,027/050,034/050,020/050,024/050,047/100,058/100,--,--,--,--,--,--,47,58,4,4,C,B+,5,7,20,28
178,178,178,214441,214442,031/050,035/050,035/050,025/050,066/100,060/100,--,--,--,--,--,--,66,60,4,4,A,A,8,8,32,32,178,178,214441,214442,031/050,035/050,035/050,025/050,066/100,060/100,--,--,--,--,--,--,66,60,4,4,A,A,8,8,32,32
179,179,179,214441,214442,027/050,037/050,021/050,020/050,048/100,057/100,--,--,--,--,--,--,48,57,4,4,C,B+,5,7,20,28,179,179,214441,214442,027/050,037/050,021/050,020/050,048/100,057/100,--,--,--,--,--,--,48,57,4,4,C,B+,5,7,20,28
180,180,180,214441,214442,026/050,030/050,023/050,020/050,049/100,050/100,--,--,--,--,--,--,49,50,4,4,C,B,5,6,20,24,180,180,214441,214442,026/050,030/050,023/050,020/050,049/100,050/100,--,--,--,--,--,--,49,50,4,4,C,B,5,6,20,24
181,181,181,214441,214442,021/050,019/050,021/050,21$/050,042/100,040/100,--,--,--,--,--,--,42,40,4,4,P,P,4,4,16,16,181,181,214441,214442,021/050,019/050,021/050,21$/050,042/100,040/100,--,--,--,--,--,--,42,40,4,4,P,P,4,4,16,16
182,182,182,214441,214442,039/050,031/050,023/050,024/050,062/100,055/100,--,--,--,--,--,--,62,55,4,4,A,B+,8,7,32,28,182,182,214441,214442,039/050,031/050,023/050,024/050,062/100,055/100,--,--,--,--,--,--,62,55,4,4,A,B+,8,7,32,28
183,183,183,214441,214442,021/050,030/050,022/050,024/050,043/100,054/100,--,--,--,--,--,--,43,54,4,4,P,B,4,6,16,24,183,183,214441,214442,021/050,030/050,022/050,024/050,043/100,054/100,--,--,--,--,--,--,43,54,4,4,P,B,4,6,16,24
184,184,184,214441,214442,017/050,016/050,005/050,002/050,022/100,018/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,184,184,214441,214442,017/050,016/050,005/050,002/050,022/100,018/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
185,185,185,214441,214442,023/050,023/050,020/050,012/050,043/100,035/100,--,--,--,--,--,--,43,FF,4,4,P,F,4,0,16,0,185,185,214441,214442,023/050,023/050,020/050,012/050,043/100,035/100,--,--,--,--,--,--,43,FF,4,4,P,F,4,0,16,0
186,186,186,214441,214442,037/050,026/050,025/050,028/050,062/100,054/100,--,--,--,--,--,--,62,54,4,4,A,B,8,6,32,24,186,186,214441,214442,037/050,026/050,025/050,028/050,062/100,054/100,--,--,--,--,--,--,62,54,4,4,A,B,8,6,32,24
187,187,187,214441,214442,022/050,027/050,027/050,021/050,049/100,048/100,--,--,--,--,--,--,49,48,4,4,C,C,5,5,20,20,187,187,214441,214442,022/050,027/050,027/050,021/050,049/100,048/100,--,--,--,--,--,--,49,48,4,4,C,C,5,5,20,20
188,188,188,214441,214442,022/050,022/050,021/050,022/050,043/100,044/100,--,--,--,--,--,--,43,44,4,4,P,P,4,4,16,16,188,188,214441,214442,022/050,022/050,021/050,022/050,043/100,044/100,--,--,--,--,--,--,43,44,4,4,P,P,4,4,16,16
189,189,189,214441,214442,035/050,034/050,023/050,028/050,058/100,062/100,--,--,--,--,--,--,58,62,4,4,B+,A,7,8,28,32,189,189,214441,214442,035/050,034/050,023/050,028/050,058/100,062/100,--,--,--,--,--,--,58,62,4,4,B+,A,7,8,28,32
190,190,190,214441,214442,035/050,033/050,013/050,021/050,048/100,054/100,--,--,--,--,--,--,FF,54,4,4,F,B,0,6,0,24,190,190,214441,214442,035/050,033/050,013/050,021/050,048/100,054/100,--,--,--,--,--,--,FF,54,4,4,F,B,0,6,0,24
191,191,191,214441,214442,029/050,023/050,021/050,020/050,050/100,043/100,--,--,--,--,--,--,50,43,4,4,B,P,6,4,24,16,191,191,214441,214442,029/050,023/050,021/050,020/050,050/100,043/100,--,--,--,--,--,--,50,43,4,4,B,P,6,4,24,16
192,192,192,214441,214442,020/050,026/050,033/050,028/050,053/100,054/100,--,--,--,--,--,--,53,54,4,4,B,B,6,6,24,24,192,192,214441,214442,020/050,026/050,033/050,028/050,053/100,054/100,--,--,--,--,--,--,53,54,4,4,B,B,6,6,24,24
193,193,193,214441,214442,035/050,022/050,025/050,020/050,060/100,042/100,--,--,--,--,--,--,60,42,4,4,A,P,8,4,32,16,193,193,214441,214442,035/050,022/050,025/050,020/050,060/100,042/100,--,--,--,--,--,--,60,42,4,4,A,P,8,4,32,16
